Ward No.,Ward Name,Councillor Name,Party Affiliation,Source Year
212,Gandhi Nagar,Priya Kamboj,BJP,2022
213,Shastri Park,Sameer Ahamd,INC,2022
214,Azad Nagar,Neelam,BJP,2022
215,Shahdara,Bharat Gautam,BJP,2022
216,Jhilmil,Pankaj Luthra,BJP,2022
217,Dilshad Colony,Preeti,AAP,2022
218,Sundar Nagri,Mohini,AAP,2022
219,Dilshad Garden,B S Panwar,BJP,2022
220,Nand Nagri,Ramesh Kumar Bisaiya,AAP,2022
221,Ashok Nagar,Reena Maheshwari,BJP,2022
222,Ram Nagar East,Chander Prakash Sharma,BJP,2022
223,Rohtash Nagar,Shivani Panchal,AAP,2022
224,Welcome Colony,Ritesh Suji,BJP,2022
225,Seelampur,Shakila Begum,Independent,2022
226,Gautam Puri,Satya Sharma,BJP,2022
227,Chauhan Banger,Shagufta Chaudhary Zubair,INC,2022
228,Maujpur,Anil Kumar Sharma,BJP,2022
229,Braham Puri,Chhaya Gaurav Sharma,AAP,2022
230,Bhajanpura,Rekha Rani,AAP,2022
231,Ghonda,Preeti Gupta,BJP,2022
232,Yamuna Vihar,Pramod Gupta,BJP,2022
233,Subhash Mohalla,Manisha Singh,BJP,2022
234,Kabir Nagar,Zarif,INC,2022
235,Gorakh Park,Priyanka Saxena,AAP,2022
236,Kardam Puri,Mukesh Kumar Bansal,BJP,2022
237,Harsh Vihar,Poonam Nirmal,AAP,2022
238,Saboli,Jaswant Singh,AAP,2022
239,Gokal Puri,Somwati Chaudhary,AAP,2022
240,Joharipur,Roshan Lal,AAP,2022
241,Karawal Nagar-East,Shimla Devi,BJP,2022
242,Dayalpur,Puneet Sharma,BJP,2022
243,Mustafabad,Sabila Begum,INC,2022
244,Nehru Vihar,Arun Singh Bhati,BJP,2022
245,Brij Puri,Nazia Khatoon,INC,2022
246,Sri Ram Colony,Mohammad Aamil Malik,AAP,2022
247,Sadatpur,Neeta Bisht,BJP,2022
248,Karawal Nagar West,Satya Pal Singh,BJP,2022
249,Sonia Vihar,Soni Pandey,BJP,2022
250,Sabapur,Brijesh Singh,BJP,2022
